Date,Crop,Price,Demand,Supply,Yield,Market_Performance,Weather_Forecast,District
1998-01-01,Potato,3.2546979611303426,672,89,2.840011291831802,-0.2867018267105926,Cloudy,Pakur
1998-01-02,Rice,3.2827780532052455,1111,168,1.6395256699944838,0.5860605638307407,Sunny,Kozhikode
1998-01-03,Cotton,9.091766792325869,521,494,1.7622591211840146,0.2554871534213364,Sunny,Rewari
1998-01-04,Barley,2.51790494043628,604,105,3.0386318514718953,-0.17600437301322958,Stormy,Barabanki
1998-01-05,Potato,2.186616243213212,560,319,2.3592849958397775,0.7382505779552512,Cloudy,Cooch Behar
1998-01-06,Sunflower,2.1840314802186387,325,213,3.1503397943887514,0.9966474735706405,Sunny,Mon
1998-01-07,Soybean,5.122207514155942,1083,779,2.1776763928338214,-2.0511810172400353,Stormy,Deoghar
1998-01-08,Potato,6.086590125487767,413,777,3.9367922975332794,1.575782290510408,Cloudy,Kaithal
1998-01-09,Cotton,2.0153011726927805,510,670,2.2812049276110624,-1.2227949703319585,Stormy,Sundargarh
1998-01-10,Barley,5.578226794510199,941,55,2.4814702129010455,0.5954426780110473,Stormy,Jamtara
1998-01-11,Rice,6.561320174254996,565,95,1.3788103844925408,-0.3306006329061018,Sunny,East Singhbhum
1998-01-12,Cotton,6.3206214092900925,404,254,2.510695177668472,1.2549315014381173,Snowy,Katni
1998-01-13,Cotton,3.916410873314313,1030,517,3.2223025194978687,0.7210649851449589,Sunny,Khawzawl
1998-01-14,Soybean,1.289955818745713,460,455,3.28894246843727,0.5893282934914225,Cloudy,Washim
1998-01-15,Oats,2.535214362108755,289,404,4.002231020418584,0.22198932847889688,Stormy,Korba
1998-01-16,Barley,6.049613565598205,1022,132,1.0475294833172624,-0.5373179274740595,Snowy,Hamirpur
1998-01-17,Corn,1.4146321160840445,349,200,2.481436373406993,-0.9900880072659816,Cloudy,Azamgarh
1998-01-18,Cotton,3.746781259053038,1117,163,2.156519604802916,-1.3830459820139316,Rainy,Kannur
1998-01-19,Oats,2.414401231877482,643,113,4.269204909508346,-0.6256907570462626,Stormy,Pherzawl
1998-01-20,Corn,4.9857554051590895,982,145,3.704916780640254,0.9121315695026875,Cloudy,Palakkad
1998-01-21,Barley,3.1348372085433125,884,221,3.485988190370535,-1.001923481180605,Rainy,Ganjam
1998-01-22,Wheat,5.077487371054781,864,631,4.554478776856769,1.2090187397817922,Snowy,Dindigul
1998-01-23,Sunflower,3.8885967093443425,446,117,1.420341445656883,-1.0258080646702215,Stormy,East Khasi Hills
1998-01-24,Oats,4.671075662785798,297,366,3.3731934267443933,-0.16438864713722395,Cloudy,Siddipet
1998-01-25,Sugarcane,1.803387919494278,369,749,3.352050096597506,0.4510982976314525,Snowy,Nainital
1998-01-26,Wheat,1.1799820188857861,934,105,2.271487621778266,1.0265407855656539,Snowy,Thoothukudi
1998-01-27,Sunflower,3.199364575240808,625,228,4.168042872217995,-0.366594348687872,Rainy,Khawzawl
1998-01-28,Soybean,2.851833067691267,266,669,2.7824405321613987,0.48124860843210193,Cloudy,Kasaragod
1998-01-29,Potato,6.5383528551803485,255,280,4.701972764326363,0.2125716540103444,Snowy,South Goa
1998-01-30,Rice,3.1364949394108974,757,335,2.83579567224454,-0.2497788616513969,Rainy,Buxar
1998-01-31,Sugarcane,4.808048907951979,815,776,3.7702133634568846,-1.0386870179224768,Cloudy,Ernakulam
1998-02-01,Soybean,3.9747363843387413,767,456,2.2803705945435877,0.44004471647092686,Rainy,Warangal Urban
1998-02-02,Barley,2.285293432698057,350,50,2.0929799669378446,0.027863062980495543,Cloudy,Bargarh
1998-02-03,Soybean,9.58779131557667,517,97,1.61507133667175,-0.3195436234559776,Cloudy,Fatehabad
1998-02-04,Potato,9.256234685586552,340,562,1.1850542127200434,0.11477565776479866,Stormy,Bastar
1998-02-05,Barley,8.062205932352306,514,739,3.3000340424971,0.5711557444795357,Cloudy,Surendranagar
1998-02-06,Sugarcane,7.946935959236173,205,205,3.350762183939661,-1.6798741930348398,Cloudy,Udupi
1998-02-07,Potato,5.278985214351449,388,221,2.795108731098428,-0.546255233955202,Rainy,East Khasi Hills
1998-02-08,Corn,1.9051536155657072,516,286,1.4458286742332311,-0.9741850064429919,Snowy,Warangal Urban
1998-02-09,Rice,1.9233815421487461,723,166,2.7076870002388436,-0.8985243508334377,Snowy,Thoubal
1998-02-10,Sugarcane,5.119480236958749,362,650,1.5336980936575149,-0.788903361526593,Snowy,Bhind
1998-02-11,Corn,2.0625062189991783,954,289,3.643820371200506,1.0984116335430343,Snowy,Baloda Bazar
1998-02-12,Sunflower,5.813960399637361,716,435,4.170399717595349,0.33324197000441635,Sunny,Medak
1998-02-13,Sugarcane,9.16293965677989,265,154,3.6115176176001764,-1.099966528676847,Stormy,Malkangiri
1998-02-14,Sunflower,1.5896102122112472,523,107,1.0049977276755195,0.18582453803569188,Sunny,North Goa
1998-02-15,Barley,5.755826090333054,392,311,2.548028720998756,0.4282204334161555,Stormy,Hisar
1998-02-16,Corn,6.544313111286954,564,219,1.1195407004654234,-0.3586972701681085,Rainy,Longleng
1998-02-17,Rice,3.5969812942546007,920,322,3.597579190751812,-1.287324236333417,Snowy,Darrang
1998-02-18,Potato,5.089465050297935,939,470,3.8674468828648854,-1.088609957975161,Rainy,Rangareddy
1998-02-19,Cotton,2.3759219895950725,777,477,2.9795917346476153,-1.5861620191022947,Rainy,South Goa
1998-02-20,Soybean,7.473238261433137,787,651,4.9178133712007535,2.139937582339079,Sunny,Narsinghpur
1998-02-21,Wheat,7.132663282342264,332,345,2.942224499042616,-1.7286661994973596,Sunny,Kandhamal
1998-02-22,Rice,1.3828357149758352,340,262,2.5612804581985302,-1.2542080159410485,Stormy,West Jaintia Hills
1998-02-23,Corn,3.2976394473513397,1067,745,1.640512492565258,-0.023486501240885145,Rainy,Ukhrul
1998-02-24,Cotton,9.026023776731105,698,208,2.743703632724858,-1.8273932526882497,Rainy,Ramanathapuram
1998-02-25,Rice,3.850202869359594,375,125,1.7760125299638965,-1.158852540807397,Stormy,Uttarkashi
1998-02-26,Corn,3.0121345186682333,235,270,2.8064822528167768,0.11492942685790798,Sunny,Haridwar
1998-02-27,Oats,2.231042279550002,342,665,2.516572180632866,0.20320100213958134,Snowy,Ramgarh
1998-02-28,Oats,2.4350798868294894,1129,429,2.1159964770332262,0.40971844406813174,Sunny,Bemetara
1998-03-01,Sunflower,2.970897090967947,703,446,1.0822292041172057,0.7154471174669156,Rainy,West Khasi Hills
1998-03-02,Rice,9.389326743457417,205,785,2.9325385035999547,-0.04032865946683499,Sunny,Moga
1998-03-03,Oats,5.877926285082728,783,147,1.1186698491565217,-0.6888707739895762,Rainy,Longleng
1998-03-04,Corn,3.7503436743433336,423,325,3.708867473361986,0.45739703899618805,Sunny,East Garo Hills
1998-03-05,Sunflower,1.9728164647918387,1182,604,1.5692089361585837,1.390503384075924,Snowy,East Champaran
1998-03-06,Corn,2.5925793259816126,1154,315,1.4255869687143443,0.6176404652075685,Snowy,Kamrup
1998-03-07,Sunflower,3.884085400106841,745,242,1.2074918609422882,-0.8637595464472706,Sunny,Dungarpur
1998-03-08,Rice,5.952796601479854,724,691,2.277114196496651,0.6141640368583697,Snowy,Sehore
1998-03-09,Cotton,3.087235268583248,256,687,2.9249779114306143,0.5592080068876236,Snowy,South Goa
1998-03-10,Potato,8.999161926359085,206,206,3.711203751963142,-1.237091971233805,Snowy,Bijapur
1998-03-11,Sugarcane,1.6571050995520107,1180,487,4.228454802647892,-0.23304771768268467,Stormy,Serchhip
1998-03-12,Cotton,1.2404300660006327,865,760,4.133738428425368,0.5666194498631444,Snowy,Sukma
1998-03-13,Barley,3.125963214218156,310,135,1.5031776128169345,1.1611623512700473,Sunny,Navsari
1998-03-14,Corn,2.510352082006107,315,642,3.795404306663876,-0.6465722147863048,Cloudy,South Sikkim
1998-03-15,Barley,8.002516308013272,506,114,3.063464588217959,-1.457272028942449,Sunny,Chamba
