,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal),JANUARY PERCIPITATION (Millimeters),FEBRUARY PERCIPITATION (Millimeters),MARCH PERCIPITATION (Millimeters),APRIL PERCIPITATION (Millimeters),MAY PERCIPITATION (Millimeters),JUNE PERCIPITATION (Millimeters),JULY PERCIPITATION (Millimeters),AUGUST PERCIPITATION (Millimeters),SEPTEMBER PERCIPITATION (Millimeters),OCTOBER PERCIPITATION (Millimeters),NOVEMBER PERCIPITATION (Millimeters),DECEMBER PERCIPITATION (Millimeters),JANUARY MINIMUM (Centigrate),FEBRUARY MINIMUM (Centigrate),MARCH MINIMUM (Centigrate),APRIL MINIMUM (Centigrate),MAY MINIMUM (Centigrate),JUNE MINIMUM (Centigrate),JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),NOVEMBER MINIMUM (Centigrate),DECEMBER MINIMUM (Centigrate),JANUARY MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),APRIL MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
2039,96,1990,7,Maharashtra,Thane,0.0,243.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.08,73.82,321.59,1715.21,968.09,392.14,145.54,7.55,0.56,16.12,17.75,20.66,24.53,26.94,25.07,24.16,23.02,22.72,22.3,20.07,17.69,31.77,30.91,32.05,35.72,35.96,31.74,29.32,28.72,29.19,31.39,31.68,30.59,149.5,288.0,1926.42,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,18.5,885.17,0.0,0.0,0.0,2.6,1.4,538.46,4.4,1.8,409.09,10.2,5.5,539.22,0.4,0.5,1250.0,0.9,0.3,333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.2,8.2,0.0,0.2,146.2
2040,96,1991,7,Maharashtra,Thane,0.0,321.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.36,12.48,14.57,315.02,619.0,439.37,142.28,1.08,3.05,1.62,15.07,17.45,20.99,25.31,27.64,25.72,24.19,22.98,23.13,21.39,19.6,15.99,29.21,30.9,33.67,36.0,36.66,32.49,29.26,29.08,29.8,32.27,32.3,30.29,150.6,268.6,1783.53,0.1,0.1,1000.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.2,0.2,1000.0,19.6,15.3,780.61,0.0,0.0,0.0,2.3,1.0,434.78,4.1,2.1,512.2,14.0,5.8,414.29,0.4,0.5,1250.0,1.1,0.4,363.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.7,333.33,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.4,9.2,0.1,0.4,160.5
2041,96,1992,7,Maharashtra,Thane,0.0,335.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.67,3.95,155.24,927.34,1202.97,449.8,71.33,1.1,0.0,15.61,16.92,20.8,24.43,27.47,26.87,25.11,23.46,22.73,22.45,19.62,16.37,29.96,29.37,33.88,35.32,36.29,33.44,30.78,28.86,29.7,31.44,32.31,31.17,147.3,285.0,1934.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2000.0,19.6,16.4,836.73,0.0,0.0,0.0,4.0,2.2,550.0,4.2,3.8,904.76,12.7,5.9,464.57,0.4,0.5,1250.0,1.3,0.5,384.62,0.2,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1.9,351.85,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.3,9.2,0.0,0.4,168.9
2042,96,1993,7,Maharashtra,Thane,0.0,353.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.93,0.08,0.9,291.63,1252.96,480.88,725.41,215.03,4.89,6.95,16.34,16.92,21.0,24.62,27.8,26.9,24.75,24.08,23.08,23.3,20.54,16.6,30.28,31.67,33.09,35.61,36.61,33.07,29.72,29.78,29.05,31.59,31.85,30.7,148.2,303.4,2047.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,1500.0,19.6,16.8,857.14,0.0,0.0,0.0,4.2,2.8,666.67,3.5,3.1,885.71,13.5,7.8,577.78,0.5,0.8,1600.0,0.5,0.2,400.0,0.8,0.3,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,2.3,433.96,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.5,10.7,0.0,0.4,168.8
2043,96,1994,7,Maharashtra,Thane,0.0,365.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.01,0.0,18.16,18.96,488.24,1680.82,660.94,412.13,92.09,2.08,0.0,16.85,17.35,21.84,24.7,27.42,25.29,23.7,23.65,22.61,22.33,19.55,15.28,30.1,30.3,35.12,35.49,36.64,31.65,28.67,28.95,29.28,32.52,32.16,30.78,153.2,290.7,1897.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1000.0,19.2,12.8,666.67,0.0,0.0,0.0,4.2,2.2,523.81,3.2,2.1,656.25,12.8,8.3,648.44,0.5,1.1,2200.0,1.0,0.3,300.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,800.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.5,10.7,0.0,0.4,169.7
2044,96,1995,7,Maharashtra,Thane,0.0,365.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.14,5.92,5.6,112.57,1158.09,465.36,539.7,118.44,0.69,0.08,14.89,18.13,20.95,24.09,27.15,27.08,24.92,24.36,23.27,22.78,18.39,17.0,28.63,30.98,33.14,36.48,36.37,34.44,30.19,30.66,29.84,32.58,32.4,32.3,143.2,310.8,2170.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,15.2,767.68,0.0,0.0,0.0,4.1,1.9,463.41,3.2,1.8,562.5,14.5,7.6,524.14,0.5,0.9,1800.0,0.8,0.2,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.5,625.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,4.8,12.1,0.0,0.4,176.1
2045,96,1996,7,Maharashtra,Thane,0.0,382.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.17,0.61,4.26,318.8,1581.84,565.99,393.46,257.75,0.85,0.0,17.39,18.52,22.56,25.03,27.47,25.79,24.7,23.39,22.84,21.58,18.16,16.5,29.84,32.17,35.24,36.32,36.69,33.56,30.27,29.09,29.51,31.17,31.78,31.11,151.2,393.0,2599.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,17.4,883.25,0.0,0.0,0.0,4.1,2.6,634.15,2.5,1.6,640.0,11.3,7.5,663.72,0.5,1.2,2400.0,0.3,0.2,666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.8,857.14,0.0,0.0,0.0,0.0,0.0,0.0,7.7,5.3,13.0,0.0,0.3,176.4
2046,96,1997,7,Maharashtra,Thane,0.0,483.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.04,6.53,2.49,498.07,938.58,1183.61,343.17,12.99,26.72,13.66,15.31,16.0,21.14,23.91,26.58,25.13,25.01,23.85,23.11,21.79,21.84,18.0,29.06,30.86,34.92,35.01,36.1,32.1,30.07,29.55,29.78,32.68,32.52,29.1,151.8,357.5,2355.07,0.1,0.1,1000.0,0.3,0.5,1666.67,0.0,0.0,0.0,0.3,0.5,1666.67,0.0,0.0,0.0,0.0,0.0,0.0,19.9,15.8,793.97,0.0,0.0,0.0,3.6,2.1,583.33,3.0,1.5,500.0,8.2,5.6,682.93,0.3,0.4,1333.33,0.3,0.2,666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.9,431.82,0.0,0.0,0.0,0.0,0.0,0.0,7.7,5.3,13.0,0.0,0.3,177.5
2047,96,1998,7,Maharashtra,Thane,0.0,512.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.03,5.19,289.43,1231.34,1068.41,478.44,181.89,19.13,0.01,17.19,17.51,20.94,26.12,28.61,26.73,25.18,24.4,23.54,23.27,20.07,16.66,29.64,31.05,34.02,36.81,37.72,33.59,30.35,30.3,29.61,31.86,31.69,30.76,142.1,272.8,1919.77,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,13.7,810.65,0.0,0.0,0.0,3.8,2.3,605.26,3.1,1.4,451.61,12.8,7.0,546.87,0.3,0.4,1333.33,1.7,0.5,294.12,0.4,0.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,4.9,1.8,367.35,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4.7,17.8,0.0,0.4,177.3
2048,96,1999,7,Maharashtra,Thane,0.0,531.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,19.88,381.41,879.78,272.05,415.14,251.22,0.01,0.0,15.54,19.04,21.74,25.83,26.77,25.16,24.57,23.8,22.95,21.86,18.98,15.8,29.29,31.99,34.62,36.22,35.79,31.63,29.73,29.5,29.32,32.05,32.4,31.4,141.8,302.0,2129.76,0.1,0.08,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.0,971.43,0.0,0.0,0.0,3.8,2.5,657.89,2.9,1.5,517.24,12.4,6.7,540.32,0.4,0.7,1750.0,1.4,0.5,357.14,0.2,0.07,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.17,493.18,0.0,0.0,0.0,0.0,0.0,0.0,13.6,5.5,19.1,0.0,0.4,173.2
